player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Zaleu",sN5xMfD2pb,2025-01-28T05:51:04.659Z,,500,,1279,779
"Los",ZxB8Ml7CpM,2025-01-28T05:26:44.680Z,2025-01-28T06:33:24.419Z,500,0,0,-500
"Misha",Kvjues6h6A,2025-01-28T05:18:45.310Z,2025-01-28T06:44:37.281Z,500,1513,0,1013
"Los",ZxB8Ml7CpM,2025-01-28T05:06:46.633Z,2025-01-28T05:25:31.631Z,500,0,0,-500
"Taytr",WdKQAdlWKf,2025-01-28T04:47:15.615Z,2025-01-28T05:01:16.450Z,200,0,0,-200
"BERA",_yrAfxfbwq,2025-01-28T04:43:15.802Z,2025-01-28T04:47:15.612Z,500,0,0,-500
"Henry",eJe4ehUK15,2025-01-28T04:30:37.397Z,2025-01-28T06:20:12.507Z,300,3207,0,2907
"Misha",Kvjues6h6A,2025-01-28T04:29:50.682Z,2025-01-28T05:18:07.055Z,500,0,0,-500
"DeezLouiz",AkoTA5kmtN,2025-01-28T04:29:06.311Z,2025-01-28T06:55:48.030Z,500,501,0,1
"BERA",_yrAfxfbwq,2025-01-28T04:24:15.952Z,2025-01-28T04:41:24.845Z,500,0,0,-500
"Henry",eJe4ehUK15,2025-01-28T04:24:15.943Z,2025-01-28T04:29:50.670Z,500,0,0,-500
"raf",HR7OxefUKM,2025-01-28T04:24:15.936Z,2025-01-28T05:06:03.736Z,500,0,0,-500
"Los",ZxB8Ml7CpM,2025-01-28T04:24:15.939Z,2025-01-28T05:06:03.729Z,500,0,0,-500
"Zaleu",sN5xMfD2pb,2025-01-28T04:24:15.946Z,2025-01-28T05:50:56.778Z,500,0,0,-500
