entry,at,order
"The player ""DeezLouiz @ AkoTA5kmtN"" quits the game with a stack of 5.01.",2025-01-28T06:55:48.020Z,173804734802000
"""Zaleu @ sN5xMfD2pb"" shows a 9♦, K♣.",2025-01-28T06:55:46.398Z,173804734639800
"-- ending hand #253 --",2025-01-28T06:55:44.342Z,173804734434202
"""Zaleu @ sN5xMfD2pb"" collected 0.10 from pot",2025-01-28T06:55:44.342Z,173804734434201
"Uncalled bet of 0.05 returned to ""Zaleu @ sN5xMfD2pb""",2025-01-28T06:55:44.342Z,173804734434200
"""DeezLouiz @ AkoTA5kmtN"" folds",2025-01-28T06:55:43.511Z,173804734351100
"""Zaleu @ sN5xMfD2pb"" posts a big blind of 0.10",2025-01-28T06:55:32.731Z,173804733273105
"""DeezLouiz @ AkoTA5kmtN"" posts a small blind of 0.05",2025-01-28T06:55:32.731Z,173804733273104
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (12.74) | #3 ""DeezLouiz @ AkoTA5kmtN"" (5.06)",2025-01-28T06:55:32.731Z,173804733273101
"-- starting hand #253 (id: z3eaxi0i3np9)  (No Limit Texas Hold'em) (dealer: ""DeezLouiz @ AkoTA5kmtN"") --",2025-01-28T06:55:32.731Z,173804733273100
"-- ending hand #252 --",2025-01-28T06:55:26.724Z,173804732672402
"""DeezLouiz @ AkoTA5kmtN"" collected 1.16 from pot with Three of a Kind, Q's (combination: Q♦, Q♠, Q♣, A♦, 10♠)",2025-01-28T06:55:26.724Z,173804732672401
"""DeezLouiz @ AkoTA5kmtN"" shows a A♦, Q♦.",2025-01-28T06:55:26.724Z,173804732672400
"""Zaleu @ sN5xMfD2pb"" calls 0.10",2025-01-28T06:55:25.842Z,173804732584200
"""DeezLouiz @ AkoTA5kmtN"" bets 0.10",2025-01-28T06:55:22.248Z,173804732224800
"River: 3♠, Q♠, Q♣, 4♥ [10♠]",2025-01-28T06:55:16.693Z,173804731669300
"""Zaleu @ sN5xMfD2pb"" calls 0.18",2025-01-28T06:55:15.855Z,173804731585500
"""DeezLouiz @ AkoTA5kmtN"" bets 0.18",2025-01-28T06:55:14.059Z,173804731405900
"Turn: 3♠, Q♠, Q♣ [4♥]",2025-01-28T06:55:08.079Z,173804730807900
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:55:07.196Z,173804730719600
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:55:06.135Z,173804730613500
"Flop:  [3♠, Q♠, Q♣]",2025-01-28T06:55:02.950Z,173804730295000
"""DeezLouiz @ AkoTA5kmtN"" calls 0.30",2025-01-28T06:55:02.136Z,173804730213600
"""Zaleu @ sN5xMfD2pb"" raises to 0.30",2025-01-28T06:54:59.587Z,173804729958700
"""DeezLouiz @ AkoTA5kmtN"" posts a big blind of 0.10",2025-01-28T06:54:57.040Z,173804729704005
"""Zaleu @ sN5xMfD2pb"" posts a small blind of 0.05",2025-01-28T06:54:57.040Z,173804729704004
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.32) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.48)",2025-01-28T06:54:57.040Z,173804729704001
"-- starting hand #252 (id: g0nrgqiqxvwb)  (No Limit Texas Hold'em) (dealer: ""Zaleu @ sN5xMfD2pb"") --",2025-01-28T06:54:57.040Z,173804729704000
"""Zaleu @ sN5xMfD2pb"" shows a 8♠, Q♠.",2025-01-28T06:54:54.918Z,173804729491800
"-- ending hand #251 --",2025-01-28T06:54:53.434Z,173804729343402
"""Zaleu @ sN5xMfD2pb"" collected 0.20 from pot",2025-01-28T06:54:53.434Z,173804729343401
"Uncalled bet of 0.10 returned to ""Zaleu @ sN5xMfD2pb""",2025-01-28T06:54:53.434Z,173804729343400
"""DeezLouiz @ AkoTA5kmtN"" folds",2025-01-28T06:54:52.566Z,173804729256600
"""Zaleu @ sN5xMfD2pb"" bets 0.10",2025-01-28T06:54:50.859Z,173804729085900
"River: 5♣, A♣, 9♣, 2♠ [4♣]",2025-01-28T06:54:47.148Z,173804728714800
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:54:46.312Z,173804728631200
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:54:45.117Z,173804728511700
"Turn: 5♣, A♣, 9♣ [2♠]",2025-01-28T06:54:44.305Z,173804728430500
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:54:43.492Z,173804728349200
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:54:42.380Z,173804728238000
"Flop:  [5♣, A♣, 9♣]",2025-01-28T06:54:38.212Z,173804727821200
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:54:37.367Z,173804727736700
"""DeezLouiz @ AkoTA5kmtN"" calls 0.10",2025-01-28T06:54:36.320Z,173804727632000
"""Zaleu @ sN5xMfD2pb"" posts a big blind of 0.10",2025-01-28T06:54:34.622Z,173804727462205
"""DeezLouiz @ AkoTA5kmtN"" posts a small blind of 0.05",2025-01-28T06:54:34.622Z,173804727462204
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.22) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.58)",2025-01-28T06:54:34.622Z,173804727462201
"-- starting hand #251 (id: bhpq9ifbucdu)  (No Limit Texas Hold'em) (dealer: ""DeezLouiz @ AkoTA5kmtN"") --",2025-01-28T06:54:34.622Z,173804727462200
"-- ending hand #250 --",2025-01-28T06:54:31.685Z,173804727168502
"""DeezLouiz @ AkoTA5kmtN"" collected 0.10 from pot",2025-01-28T06:54:31.685Z,173804727168501
"Uncalled bet of 0.05 returned to ""DeezLouiz @ AkoTA5kmtN""",2025-01-28T06:54:31.685Z,173804727168500
"""Zaleu @ sN5xMfD2pb"" folds",2025-01-28T06:54:30.832Z,173804727083200
"""DeezLouiz @ AkoTA5kmtN"" posts a big blind of 0.10",2025-01-28T06:54:29.706Z,173804726970605
"""Zaleu @ sN5xMfD2pb"" posts a small blind of 0.05",2025-01-28T06:54:29.706Z,173804726970604
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.27) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.53)",2025-01-28T06:54:29.706Z,173804726970601
"-- starting hand #250 (id: jz8pzzts6qz8)  (No Limit Texas Hold'em) (dealer: ""Zaleu @ sN5xMfD2pb"") --",2025-01-28T06:54:29.706Z,173804726970600
"-- ending hand #249 --",2025-01-28T06:54:26.793Z,173804726679302
"""DeezLouiz @ AkoTA5kmtN"" collected 0.80 from pot",2025-01-28T06:54:26.793Z,173804726679301
"Uncalled bet of 0.33 returned to ""DeezLouiz @ AkoTA5kmtN""",2025-01-28T06:54:26.793Z,173804726679300
"""Zaleu @ sN5xMfD2pb"" folds",2025-01-28T06:54:25.901Z,173804726590100
"""DeezLouiz @ AkoTA5kmtN"" raises to 0.53",2025-01-28T06:54:24.590Z,173804726459000
"""Zaleu @ sN5xMfD2pb"" bets 0.20",2025-01-28T06:54:15.474Z,173804725547400
"River: Q♣, K♣, A♠, 8♣ [5♠]",2025-01-28T06:54:10.557Z,173804725055700
"""Zaleu @ sN5xMfD2pb"" calls 0.10",2025-01-28T06:54:09.711Z,173804724971100
"""DeezLouiz @ AkoTA5kmtN"" bets 0.10",2025-01-28T06:54:08.615Z,173804724861500
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:54:06.572Z,173804724657200
"Turn: Q♣, K♣, A♠ [8♣]",2025-01-28T06:54:05.147Z,173804724514700
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:54:04.279Z,173804724427900
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:54:03.427Z,173804724342700
"Flop:  [Q♣, K♣, A♠]",2025-01-28T06:53:59.322Z,173804723932200
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:53:58.464Z,173804723846400
"""DeezLouiz @ AkoTA5kmtN"" calls 0.10",2025-01-28T06:53:56.862Z,173804723686200
"""Zaleu @ sN5xMfD2pb"" posts a big blind of 0.10",2025-01-28T06:53:54.383Z,173804723438305
"""DeezLouiz @ AkoTA5kmtN"" posts a small blind of 0.05",2025-01-28T06:53:54.383Z,173804723438304
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.67) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.13)",2025-01-28T06:53:54.383Z,173804723438301
"-- starting hand #249 (id: ormoxh8zfphu)  (No Limit Texas Hold'em) (dealer: ""DeezLouiz @ AkoTA5kmtN"") --",2025-01-28T06:53:54.383Z,173804723438300
"-- ending hand #248 --",2025-01-28T06:53:48.380Z,173804722838002
"""Zaleu @ sN5xMfD2pb"" collected 0.60 from pot with Pair, 4's (combination: 4♦, 4♣, 10♦, 9♠, 7♥)",2025-01-28T06:53:48.380Z,173804722838001
"""Zaleu @ sN5xMfD2pb"" shows a 4♦, 7♥.",2025-01-28T06:53:48.380Z,173804722838000
"""DeezLouiz @ AkoTA5kmtN"" calls 0.10",2025-01-28T06:53:47.554Z,173804722755400
"""Zaleu @ sN5xMfD2pb"" bets 0.10",2025-01-28T06:53:44.457Z,173804722445700
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:53:43.187Z,173804722318700
"River: 9♠, 10♦, 4♣, 5♥ [2♦]",2025-01-28T06:53:41.852Z,173804722185200
"""DeezLouiz @ AkoTA5kmtN"" calls 0.10",2025-01-28T06:53:41.037Z,173804722103700
"""Zaleu @ sN5xMfD2pb"" bets 0.10",2025-01-28T06:53:39.038Z,173804721903800
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:53:36.987Z,173804721698700
"Turn: 9♠, 10♦, 4♣ [5♥]",2025-01-28T06:53:35.763Z,173804721576300
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:53:34.948Z,173804721494800
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:53:33.389Z,173804721338900
"Flop:  [9♠, 10♦, 4♣]",2025-01-28T06:53:31.282Z,173804721128200
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:53:30.466Z,173804721046600
"""Zaleu @ sN5xMfD2pb"" calls 0.10",2025-01-28T06:53:29.102Z,173804720910200
"""DeezLouiz @ AkoTA5kmtN"" posts a big blind of 0.10",2025-01-28T06:53:27.035Z,173804720703505
"""Zaleu @ sN5xMfD2pb"" posts a small blind of 0.05",2025-01-28T06:53:27.035Z,173804720703504
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.37) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.43)",2025-01-28T06:53:27.035Z,173804720703501
"-- starting hand #248 (id: ux9pejb84fj2)  (No Limit Texas Hold'em) (dealer: ""Zaleu @ sN5xMfD2pb"") --",2025-01-28T06:53:27.035Z,173804720703500
"-- ending hand #247 --",2025-01-28T06:53:24.116Z,173804720411602
"""Zaleu @ sN5xMfD2pb"" collected 0.10 from pot",2025-01-28T06:53:24.116Z,173804720411601
"Uncalled bet of 0.05 returned to ""Zaleu @ sN5xMfD2pb""",2025-01-28T06:53:24.116Z,173804720411600
"""DeezLouiz @ AkoTA5kmtN"" folds",2025-01-28T06:53:23.289Z,173804720328900
"""Zaleu @ sN5xMfD2pb"" posts a big blind of 0.10",2025-01-28T06:53:18.221Z,173804719822105
"""DeezLouiz @ AkoTA5kmtN"" posts a small blind of 0.05",2025-01-28T06:53:18.221Z,173804719822104
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.32) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.48)",2025-01-28T06:53:18.221Z,173804719822101
"-- starting hand #247 (id: yddr0gb5resd)  (No Limit Texas Hold'em) (dealer: ""DeezLouiz @ AkoTA5kmtN"") --",2025-01-28T06:53:18.221Z,173804719822100
"-- ending hand #246 --",2025-01-28T06:53:15.312Z,173804719531202
"""DeezLouiz @ AkoTA5kmtN"" collected 0.10 from pot",2025-01-28T06:53:15.312Z,173804719531201
"Uncalled bet of 0.05 returned to ""DeezLouiz @ AkoTA5kmtN""",2025-01-28T06:53:15.312Z,173804719531200
"""Zaleu @ sN5xMfD2pb"" folds",2025-01-28T06:53:14.503Z,173804719450300
"""DeezLouiz @ AkoTA5kmtN"" posts a big blind of 0.10",2025-01-28T06:53:13.000Z,173804719300005
"""Zaleu @ sN5xMfD2pb"" posts a small blind of 0.05",2025-01-28T06:53:13.000Z,173804719300004
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.37) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.43)",2025-01-28T06:53:13.000Z,173804719300001
"-- starting hand #246 (id: brkckypbogpw)  (No Limit Texas Hold'em) (dealer: ""Zaleu @ sN5xMfD2pb"") --",2025-01-28T06:53:13.000Z,173804719300000
"-- ending hand #245 --",2025-01-28T06:53:10.055Z,173804719005502
"""Zaleu @ sN5xMfD2pb"" collected 0.10 from pot",2025-01-28T06:53:10.055Z,173804719005501
"Uncalled bet of 0.05 returned to ""Zaleu @ sN5xMfD2pb""",2025-01-28T06:53:10.055Z,173804719005500
"""DeezLouiz @ AkoTA5kmtN"" folds",2025-01-28T06:53:09.244Z,173804718924400
"""Zaleu @ sN5xMfD2pb"" posts a big blind of 0.10",2025-01-28T06:53:07.260Z,173804718726005
"""DeezLouiz @ AkoTA5kmtN"" posts a small blind of 0.05",2025-01-28T06:53:07.260Z,173804718726004
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.32) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.48)",2025-01-28T06:53:07.260Z,173804718726001
"-- starting hand #245 (id: mp5ggx45i0ns)  (No Limit Texas Hold'em) (dealer: ""DeezLouiz @ AkoTA5kmtN"") --",2025-01-28T06:53:07.260Z,173804718726000
"-- ending hand #244 --",2025-01-28T06:53:01.227Z,173804718122702
"""DeezLouiz @ AkoTA5kmtN"" collected 0.60 from pot with Pair, 10's (combination: 10♠, 10♦, A♣, Q♣, 9♣)",2025-01-28T06:53:01.227Z,173804718122701
"""DeezLouiz @ AkoTA5kmtN"" shows a Q♣, 10♠.",2025-01-28T06:53:01.227Z,173804718122700
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:53:00.394Z,173804718039400
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:52:58.189Z,173804717818900
"River: A♣, 3♦, 7♦, 9♣ [10♦]",2025-01-28T06:52:55.477Z,173804717547700
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:52:54.608Z,173804717460800
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:52:53.656Z,173804717365600
"Turn: A♣, 3♦, 7♦ [9♣]",2025-01-28T06:52:52.263Z,173804717226300
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:52:51.447Z,173804717144700
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:52:50.485Z,173804717048500
"Flop:  [A♣, 3♦, 7♦]",2025-01-28T06:52:48.012Z,173804716801200
"""DeezLouiz @ AkoTA5kmtN"" calls 0.30",2025-01-28T06:52:47.149Z,173804716714900
"""Zaleu @ sN5xMfD2pb"" raises to 0.30",2025-01-28T06:52:46.225Z,173804716622500
"""DeezLouiz @ AkoTA5kmtN"" posts a big blind of 0.10",2025-01-28T06:52:41.602Z,173804716160205
"""Zaleu @ sN5xMfD2pb"" posts a small blind of 0.05",2025-01-28T06:52:41.602Z,173804716160204
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.62) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.18)",2025-01-28T06:52:41.602Z,173804716160201
"-- starting hand #244 (id: lnjei9p5q3ue)  (No Limit Texas Hold'em) (dealer: ""Zaleu @ sN5xMfD2pb"") --",2025-01-28T06:52:41.602Z,173804716160200
"-- ending hand #243 --",2025-01-28T06:52:35.584Z,173804715558402
"""Zaleu @ sN5xMfD2pb"" collected 1.32 from pot with Pair, J's (combination: J♥, J♠, K♣, 9♠, 8♠)",2025-01-28T06:52:35.584Z,173804715558401
"""Zaleu @ sN5xMfD2pb"" shows a 7♦, J♥.",2025-01-28T06:52:35.584Z,173804715558400
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:52:34.708Z,173804715470800
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:52:31.785Z,173804715178500
"River: K♣, 2♥, J♠, 8♠ [9♠]",2025-01-28T06:52:28.186Z,173804714818600
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:52:27.358Z,173804714735800
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:52:24.129Z,173804714412900
"Turn: K♣, 2♥, J♠ [8♠]",2025-01-28T06:52:22.562Z,173804714256200
"""Zaleu @ sN5xMfD2pb"" calls 0.36",2025-01-28T06:52:21.683Z,173804714168300
"""DeezLouiz @ AkoTA5kmtN"" bets 0.36",2025-01-28T06:52:19.823Z,173804713982300
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:52:15.164Z,173804713516400
"Flop:  [K♣, 2♥, J♠]",2025-01-28T06:52:13.463Z,173804713346300
"""DeezLouiz @ AkoTA5kmtN"" calls 0.30",2025-01-28T06:52:12.612Z,173804713261200
"""Zaleu @ sN5xMfD2pb"" raises to 0.30",2025-01-28T06:52:11.739Z,173804713173900
"""DeezLouiz @ AkoTA5kmtN"" calls 0.10",2025-01-28T06:52:08.683Z,173804712868300
"""Zaleu @ sN5xMfD2pb"" posts a big blind of 0.10",2025-01-28T06:52:04.440Z,173804712444005
"""DeezLouiz @ AkoTA5kmtN"" posts a small blind of 0.05",2025-01-28T06:52:04.440Z,173804712444004
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (12.96) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.84)",2025-01-28T06:52:04.440Z,173804712444001
"-- starting hand #243 (id: 9l444z7j0fdq)  (No Limit Texas Hold'em) (dealer: ""DeezLouiz @ AkoTA5kmtN"") --",2025-01-28T06:52:04.440Z,173804712444000
"-- ending hand #242 --",2025-01-28T06:52:01.505Z,173804712150502
"""Zaleu @ sN5xMfD2pb"" collected 0.20 from pot",2025-01-28T06:52:01.505Z,173804712150501
"Uncalled bet of 0.20 returned to ""Zaleu @ sN5xMfD2pb""",2025-01-28T06:52:01.505Z,173804712150500
"""DeezLouiz @ AkoTA5kmtN"" folds",2025-01-28T06:52:00.703Z,173804712070300
"""Zaleu @ sN5xMfD2pb"" raises to 0.30",2025-01-28T06:51:59.514Z,173804711951400
"""DeezLouiz @ AkoTA5kmtN"" posts a big blind of 0.10",2025-01-28T06:51:57.298Z,173804711729805
"""Zaleu @ sN5xMfD2pb"" posts a small blind of 0.05",2025-01-28T06:51:57.298Z,173804711729804
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (12.86) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.94)",2025-01-28T06:51:57.298Z,173804711729801
"-- starting hand #242 (id: ritunmaeyvpy)  (No Limit Texas Hold'em) (dealer: ""Zaleu @ sN5xMfD2pb"") --",2025-01-28T06:51:57.298Z,173804711729800
"-- ending hand #241 --",2025-01-28T06:51:54.353Z,173804711435302
"""Zaleu @ sN5xMfD2pb"" collected 0.10 from pot",2025-01-28T06:51:54.353Z,173804711435301
"Uncalled bet of 0.05 returned to ""Zaleu @ sN5xMfD2pb""",2025-01-28T06:51:54.353Z,173804711435300
"""DeezLouiz @ AkoTA5kmtN"" folds",2025-01-28T06:51:53.502Z,173804711350200
"""Zaleu @ sN5xMfD2pb"" posts a big blind of 0.10",2025-01-28T06:51:49.390Z,173804710939005
"""DeezLouiz @ AkoTA5kmtN"" posts a small blind of 0.05",2025-01-28T06:51:49.390Z,173804710939004
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (12.81) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.99)",2025-01-28T06:51:49.390Z,173804710939001
"-- starting hand #241 (id: vnvz0jvndjoj)  (No Limit Texas Hold'em) (dealer: ""DeezLouiz @ AkoTA5kmtN"") --",2025-01-28T06:51:49.390Z,173804710939000
"-- ending hand #240 --",2025-01-28T06:51:43.345Z,173804710334504
"""DeezLouiz @ AkoTA5kmtN"" collected 0.20 from pot with Two Pair, A's & 8's (combination: A♠, A♣, 8♠, 8♥, Q♣)",2025-01-28T06:51:43.345Z,173804710334503
"""DeezLouiz @ AkoTA5kmtN"" shows a 6♣, 6♦.",2025-01-28T06:51:43.345Z,173804710334502
"""Zaleu @ sN5xMfD2pb"" collected 0.20 from pot with Two Pair, A's & 8's (combination: A♠, A♣, 8♠, 8♥, Q♣)",2025-01-28T06:51:43.345Z,173804710334501
"""Zaleu @ sN5xMfD2pb"" shows a 3♣, J♥.",2025-01-28T06:51:43.345Z,173804710334500
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:51:42.514Z,173804710251400
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:51:41.637Z,173804710163700
"River: Q♣, 8♠, A♠, A♣ [8♥]",2025-01-28T06:51:39.119Z,173804709911900
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:51:38.314Z,173804709831400
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:51:37.403Z,173804709740300
"Turn: Q♣, 8♠, A♠ [A♣]",2025-01-28T06:51:35.442Z,173804709544200
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:51:34.572Z,173804709457200
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:51:33.652Z,173804709365200
"Flop:  [Q♣, 8♠, A♠]",2025-01-28T06:51:30.365Z,173804709036500
"""Zaleu @ sN5xMfD2pb"" calls 0.20",2025-01-28T06:51:29.552Z,173804708955200
"""DeezLouiz @ AkoTA5kmtN"" raises to 0.20",2025-01-28T06:51:28.525Z,173804708852500
"""Zaleu @ sN5xMfD2pb"" calls 0.10",2025-01-28T06:51:26.282Z,173804708628200
"""DeezLouiz @ AkoTA5kmtN"" posts a big blind of 0.10",2025-01-28T06:51:21.887Z,173804708188705
"""Zaleu @ sN5xMfD2pb"" posts a small blind of 0.05",2025-01-28T06:51:21.887Z,173804708188704
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (12.81) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.99)",2025-01-28T06:51:21.887Z,173804708188701
"-- starting hand #240 (id: vkx09q3gw4pb)  (No Limit Texas Hold'em) (dealer: ""Zaleu @ sN5xMfD2pb"") --",2025-01-28T06:51:21.887Z,173804708188700
"-- ending hand #239 --",2025-01-28T06:51:18.911Z,173804707891102
"""DeezLouiz @ AkoTA5kmtN"" collected 0.80 from pot",2025-01-28T06:51:18.911Z,173804707891101
"Uncalled bet of 0.30 returned to ""DeezLouiz @ AkoTA5kmtN""",2025-01-28T06:51:18.911Z,173804707891100
"""Zaleu @ sN5xMfD2pb"" folds",2025-01-28T06:51:18.108Z,173804707810800
"""DeezLouiz @ AkoTA5kmtN"" raises to 0.70",2025-01-28T06:51:16.870Z,173804707687000
"""Zaleu @ sN5xMfD2pb"" raises to 0.40",2025-01-28T06:51:14.519Z,173804707451900
"""DeezLouiz @ AkoTA5kmtN"" calls 0.10",2025-01-28T06:51:12.029Z,173804707202900
"""Zaleu @ sN5xMfD2pb"" posts a big blind of 0.10",2025-01-28T06:51:09.460Z,173804706946005
"""DeezLouiz @ AkoTA5kmtN"" posts a small blind of 0.05",2025-01-28T06:51:09.460Z,173804706946004
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.21) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.59)",2025-01-28T06:51:09.460Z,173804706946001
"-- starting hand #239 (id: kd5yxlu8hrzq)  (No Limit Texas Hold'em) (dealer: ""DeezLouiz @ AkoTA5kmtN"") --",2025-01-28T06:51:09.460Z,173804706946000
"-- ending hand #238 --",2025-01-28T06:51:06.541Z,173804706654102
"""Zaleu @ sN5xMfD2pb"" collected 0.20 from pot",2025-01-28T06:51:06.541Z,173804706654101
"Uncalled bet of 0.30 returned to ""Zaleu @ sN5xMfD2pb""",2025-01-28T06:51:06.541Z,173804706654100
"""DeezLouiz @ AkoTA5kmtN"" folds",2025-01-28T06:51:05.693Z,173804706569300
"""Zaleu @ sN5xMfD2pb"" raises to 0.40",2025-01-28T06:51:04.786Z,173804706478600
"""DeezLouiz @ AkoTA5kmtN"" posts a big blind of 0.10",2025-01-28T06:51:02.429Z,173804706242905
"""Zaleu @ sN5xMfD2pb"" posts a small blind of 0.05",2025-01-28T06:51:02.429Z,173804706242904
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (13.11) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.69)",2025-01-28T06:51:02.429Z,173804706242901
"-- starting hand #238 (id: joiccvwhby8e)  (No Limit Texas Hold'em) (dealer: ""Zaleu @ sN5xMfD2pb"") --",2025-01-28T06:51:02.429Z,173804706242900
"""Zaleu @ sN5xMfD2pb"" shows a J♥.",2025-01-28T06:50:59.593Z,173804705959300
"-- ending hand #237 --",2025-01-28T06:50:58.776Z,173804705877602
"""Zaleu @ sN5xMfD2pb"" collected 0.60 from pot",2025-01-28T06:50:58.776Z,173804705877601
"Uncalled bet of 0.30 returned to ""Zaleu @ sN5xMfD2pb""",2025-01-28T06:50:58.776Z,173804705877600
"""DeezLouiz @ AkoTA5kmtN"" folds",2025-01-28T06:50:57.969Z,173804705796900
"""Zaleu @ sN5xMfD2pb"" bets 0.30",2025-01-28T06:50:52.422Z,173804705242200
"Turn: J♦, Q♣, J♠ [5♠]",2025-01-28T06:50:47.780Z,173804704778000
"""DeezLouiz @ AkoTA5kmtN"" checks",2025-01-28T06:50:46.966Z,173804704696600
"""Zaleu @ sN5xMfD2pb"" checks",2025-01-28T06:50:45.754Z,173804704575400
"Flop:  [J♦, Q♣, J♠]",2025-01-28T06:50:43.874Z,173804704387400
"""DeezLouiz @ AkoTA5kmtN"" calls 0.30",2025-01-28T06:50:43.001Z,173804704300100
"""Zaleu @ sN5xMfD2pb"" raises to 0.30",2025-01-28T06:50:40.255Z,173804704025500
"""DeezLouiz @ AkoTA5kmtN"" calls 0.10",2025-01-28T06:50:37.058Z,173804703705800
"""Zaleu @ sN5xMfD2pb"" posts a big blind of 0.10",2025-01-28T06:50:30.825Z,173804703082505
"""DeezLouiz @ AkoTA5kmtN"" posts a small blind of 0.05",2025-01-28T06:50:30.825Z,173804703082504
"Player stacks: #2 ""Zaleu @ sN5xMfD2pb"" (12.81) | #3 ""DeezLouiz @ AkoTA5kmtN"" (4.99)",2025-01-28T06:50:30.825Z,173804703082501
"-- starting hand #237 (id: smh8e6hbvevg)  (No Limit Texas Hold'em) (dealer: ""DeezLouiz @ AkoTA5kmtN"") --",2025-01-28T06:50:30.825Z,173804703082500
"-- ending hand #236 --",2025-01-28T06:50:27.866Z,173804702786602
"""DeezLouiz @ AkoTA5kmtN"" collected 0.10 from pot",2025-01-28T06:50:27.866Z,173804702786601
"Uncalled bet of 0.05 returned to ""DeezLouiz @ AkoTA5kmtN""",2025-01-28T06:50:27.866Z,173804702786600
"""Zaleu @ sN5xMfD2pb"" folds",2025-01-28T06:50:27.054Z,173804702705400
"""DeezLouiz @ AkoTA5kmtN"" posts a big blind of 0.10",2025-01-28T06:50:24.797Z,173804702479705
"""Zaleu @ sN5xMfD2pb"" posts a small blind of 0.05",2025-01-28T06:50:24.797Z,173804702479704
